task,model,split,metric,value
T1,baseline_naive,test,roc_auc,0.4903504316912138
T1,baseline_naive,test,pr_auc,0.24494713273313534
T1,baseline_naive,test,brier,0.36320012530739976
T1,baseline_naive,test,calib_intercept,0.23097581381472518
T1,baseline_naive,test,calib_slope,0.003016599144132618
T1,baseline_ma4,test,roc_auc,0.46212121212121215
T1,baseline_ma4,test,pr_auc,0.23791977652478466
T1,baseline_ma4,test,brier,0.3247739718357979
T1,baseline_ma4,test,calib_intercept,0.23405606888246022
T1,baseline_ma4,test,calib_slope,-0.024609560210033892
T2,baseline_naive,test,mae,0.8431623931623932
T2,baseline_naive,test,smape,0.5600521592223716
T2,baseline_ma4,test,mae,0.7161894273127752
T2,baseline_ma4,test,smape,0.46735846038449264
T1,glm_logistic,test,roc_auc,0.6281923383878691
T1,glm_logistic,test,pr_auc,0.5106020956255748
T1,glm_logistic,test,brier,0.17142035463864044
T1,glm_logistic,test,calib_intercept,0.3579672808843957
T1,glm_logistic,test,calib_slope,0.11766446384046053
T2,glm_ridge,test,mae,0.5463172559773015
T2,glm_ridge,test,smape,0.39559997649819034
T1,lgbm_calibrated,test,roc_auc,0.7797286512370311
T1,lgbm_calibrated,test,pr_auc,0.5823709369415465
T1,lgbm_calibrated,test,brier,0.14282421713377622
T1,lgbm_calibrated,test,calib_intercept,0.3093468540256756
T1,lgbm_calibrated,test,calib_slope,0.0397513055827043
T2,lgbm_reg,test,mae,0.5680972711049395
T2,lgbm_reg,test,smape,0.4123627839604397
