service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode,s,S
0.11005692599620494,5067.0,5,1283.8,1302.0,S1,"sS(s=0,S=10)",42,0,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10921004732435384,5171.0,0,1356.8,1368.0,S1,"sS(s=0,S=10)",42,1,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10086956521739131,5512.0,4,1536.0,1585.0,S1,"sS(s=0,S=10)",42,2,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1036653091447612,5119.0,0,1401.6,1428.0,S1,"sS(s=0,S=10)",42,3,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1152073732718894,4935.0,2,1398.8,1438.0,S1,"sS(s=0,S=10)",42,4,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10319573901464714,5745.0,5,1397.6,1404.0,S1,"sS(s=0,S=10)",42,5,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11275272161741835,4911.0,4,1344.0,1360.0,S1,"sS(s=0,S=10)",42,6,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10148604566872055,5250.0,1,1324.4,1352.0,S1,"sS(s=0,S=10)",42,7,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10607168983174835,5250.0,5,1597.8,1634.0,S1,"sS(s=0,S=10)",42,8,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.09847198641765705,5587.0,0,1477.2,1496.0,S1,"sS(s=0,S=10)",42,9,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11127063890882986,5284.0,3,1312.2,1338.0,S1,"sS(s=0,S=10)",42,10,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10800744878957169,5067.0,0,1476.8,1522.0,S1,"sS(s=0,S=10)",42,11,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10873377762188706,5359.0,0,1593.2,1624.0,S1,"sS(s=0,S=10)",42,12,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10167029774872913,5300.0,4,1372.8,1388.0,S1,"sS(s=0,S=10)",42,13,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11085626911314984,5009.0,5,1375.2,1388.0,S1,"sS(s=0,S=10)",42,14,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1103988603988604,5348.0,4,1506.8,1529.0,S1,"sS(s=0,S=10)",42,15,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11210762331838565,5144.0,6,1493.0,1510.0,S1,"sS(s=0,S=10)",42,16,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10211267605633803,5447.0,4,1510.0,1553.0,S1,"sS(s=0,S=10)",42,17,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10416666666666667,5330.0,3,1411.3999999999999,1445.0,S1,"sS(s=0,S=10)",42,18,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11877394636015326,4932.0,3,1316.8,1358.0,S1,"sS(s=0,S=10)",42,19,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10379384395132427,5340.0,3,1514.6,1546.0,S1,"sS(s=0,S=10)",42,20,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10583817002389895,5576.2,4,1536.0,1560.0,S1,"sS(s=0,S=10)",42,21,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.0919175911251981,6062.0,3,1663.8,1714.0,S1,"sS(s=0,S=10)",42,22,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.0949367088607595,5505.0,5,1474.4,1482.0,S1,"sS(s=0,S=10)",42,23,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10721944245889921,5303.0,2,1396.4,1424.0,S1,"sS(s=0,S=10)",42,24,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1051156271899089,5385.0,0,1467.2,1512.0,S1,"sS(s=0,S=10)",42,25,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
