scenario,method,seed,total_cost,service_level,scri_viol,VaR95,TVaR95
S1,myopic,42,4144.486,0.6223114972437737,0.92,1212.4592,1247.8980000000001
S1,"sS(s=0,S=10)",42,5273.818,0.10640041515931065,2.6,1439.98,1470.14
S1,"sS(s=0,S=100)",42,4295.512,0.5487479514331338,1.24,1253.7736,1298.674
S1,"sS(s=0,S=15)",42,5157.312,0.15021620804968683,1.78,1404.5432,1435.0
S1,"sS(s=0,S=20)",42,5051.258,0.19247219195104048,1.68,1373.8016,1404.7779999999998
S1,"sS(s=0,S=25)",42,4951.764,0.23315401932163726,1.66,1345.9888,1377.5420000000001
S1,"sS(s=0,S=30)",42,4858.858,0.2719204967187514,1.76,1321.9288000000001,1354.912
S1,"sS(s=0,S=35)",42,4779.657999999999,0.3055789117096679,1.7,1303.0403999999999,1337.7079999999999
S1,"sS(s=0,S=40)",42,4701.478,0.3380081251258037,1.58,1285.08,1321.588
S1,"sS(s=0,S=45)",42,4635.474,0.36608280641978136,1.54,1266.4008000000001,1302.712
S1,"sS(s=0,S=50)",42,4592.1179999999995,0.3870500345303844,1.66,1261.7192,1297.276
S1,"sS(s=0,S=55)",42,4537.964,0.412144690402349,1.62,1256.894,1293.1660000000002
S1,"sS(s=0,S=60)",42,4489.25,0.4331413656587012,1.52,1255.8147999999999,1294.986
S1,"sS(s=0,S=65)",42,4461.376,0.4504650889999581,1.58,1263.1736,1305.3
S1,"sS(s=0,S=70)",42,4413.284000000001,0.4708698892354046,1.48,1251.8736,1293.34
S1,"sS(s=0,S=75)",42,4385.034000000001,0.48641051350264897,1.52,1253.9436,1296.9180000000001
S1,"sS(s=0,S=80)",42,4353.792,0.5050988143615466,1.48,1245.5143999999998,1288.318
S1,"sS(s=0,S=85)",42,4325.744000000001,0.5167527814091077,1.48,1249.4784,1294.712
S1,"sS(s=0,S=90)",42,4310.298,0.5277666010767519,1.36,1257.474,1305.552
S1,"sS(s=0,S=95)",42,4295.462,0.5400680249491174,1.34,1259.5695999999998,1306.6
S1,"sS(s=10,S=100)",42,4261.284000000001,0.5623873715451002,1.22,1251.7032,1297.694
S1,"sS(s=10,S=15)",42,5156.452,0.1504583689901693,1.76,1404.5112,1435.0
S1,"sS(s=10,S=20)",42,5049.538,0.1934812831149286,1.68,1373.7335999999998,1404.7979999999998
S1,"sS(s=10,S=25)",42,4945.654,0.23558299977750444,1.64,1344.1176,1375.862
S1,"sS(s=10,S=30)",42,4852.6179999999995,0.27415682887711484,1.7,1319.5888,1352.612
S1,"sS(s=10,S=35)",42,4767.53,0.31021376557805314,1.7,1296.1304,1329.636
S1,"sS(s=10,S=40)",42,4688.67,0.34374992365252255,1.56,1279.4808,1315.55
S1,"sS(s=10,S=45)",42,4616.122,0.37482755748807584,1.5,1261.8156,1298.068
S1,"sS(s=10,S=50)",42,4562.0779999999995,0.39885215224550224,1.5,1251.4844,1287.526
S1,"sS(s=10,S=55)",42,4510.702,0.4221666322795879,1.52,1243.9624,1278.812
S1,"sS(s=10,S=60)",42,4470.02,0.4430261126823016,1.46,1248.402,1285.65
S1,"sS(s=10,S=65)",42,4423.968,0.46491016991071293,1.46,1242.2084,1279.944
S1,"sS(s=10,S=70)",42,4384.662,0.48490174206009073,1.38,1242.2759999999998,1282.62
S1,"sS(s=10,S=75)",42,4358.664000000001,0.4996432226899414,1.4,1245.0375999999999,1286.588
S1,"sS(s=10,S=80)",42,4324.02,0.5176581758464437,1.46,1242.0631999999998,1283.354
S1,"sS(s=10,S=85)",42,4297.444,0.5326710192069247,1.34,1248.4343999999999,1292.3519999999999
S1,"sS(s=10,S=90)",42,4283.736,0.5418186643262587,1.28,1257.0692,1305.724
