scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,0,0.13113525665043088,5256.0,0,1373.0,1396.0
S1,qlearning,0,1,0.12871646120377084,5536.0,3,1780.1999999999998,1864.0
S1,qlearning,0,2,0.10968921389396709,5433.0,0,1385.0,1387.0
S1,qlearning,0,3,0.1267019667170953,6099.0,5,1444.4,1458.0
S1,qlearning,0,4,0.11420893516963386,6459.0,0,1762.8,1810.0
S1,qlearning,0,5,0.12595419847328243,5453.5,1,1629.1,1655.0
S1,qlearning,0,6,0.14439096630877452,5429.0,0,1571.3999999999999,1636.0
S1,qlearning,0,7,0.11798355380765105,6137.5,1,1734.7,1767.0
S1,qlearning,0,8,0.1445439739413681,5294.0,0,1565.6,1638.0
S1,qlearning,0,9,0.13171947312210752,6741.0,1,2198.4,2242.0
S1,qlearning,0,10,0.10338680926916222,6171.0,3,1711.2,1770.0
S1,qlearning,0,11,0.14105058365758755,5740.0,3,1540.8,1550.0
S1,qlearning,0,12,0.11465215701515741,5454.5,0,1618.8999999999999,1681.0
S1,qlearning,0,13,0.126066718386346,5793.0,17,1660.8,1676.0
S1,qlearning,0,14,0.08099173553719008,6902.0,2,2251.7999999999997,2473.0
S1,qlearning,0,15,0.12579730687455706,6403.0,2,1743.0,1766.0
S1,qlearning,0,16,0.11210762331838565,6208.0,0,1930.8,2009.0
S1,qlearning,0,17,0.12587930396149574,5383.0,3,1599.6,1667.0
S1,qlearning,0,18,0.09595254710397767,6444.5,0,1882.1999999999998,1983.5
S1,qlearning,0,19,0.12725344644750794,5270.0,1,1487.2,1523.0
S1,qlearning,0,20,0.12969924812030076,5355.0,6,1781.9999999999998,1927.0
S1,qlearning,0,21,0.1456876456876457,5828.5,0,1737.5,1747.0
S1,qlearning,0,22,0.1057925771765522,6289.5,0,1590.8,1591.0
S1,qlearning,0,23,0.11281070745697896,5774.0,4,1688.6,1725.0
S1,qlearning,0,24,0.1316765578635015,6187.2,3,2009.3999999999999,2239.0
S1,qlearning,0,25,0.12,6257.0,4,1887.8,1904.0
S1,qlearning,0,26,0.13063357282821686,6364.0,2,1800.8,1895.0
S1,qlearning,0,27,0.1259924059371764,6276.5,2,1956.3999999999999,2116.5
S1,qlearning,0,28,0.10380014074595355,6502.0,0,2122.6,2315.0
S1,qlearning,0,29,0.09534583063994828,6927.0,2,2178.0,2352.0
S1,qlearning,0,30,0.1290560471976401,6228.0,4,1740.0,1799.0
S1,qlearning,0,31,0.10624597553122987,6723.0,3,2129.0,2300.0
S1,qlearning,0,32,0.09749756256093597,6439.5,1,1984.9999999999998,2131.5
S1,qlearning,0,33,0.15673981191222572,5173.0,0,1410.8,1487.0
S1,qlearning,0,34,0.09936908517350158,7023.0,1,2539.6,2832.0
